1.5164,0.11307
1.6419,0.11282
1.6761,0.1133
1.6592,0.1131
1.6817,0.11377
1.6024,0.1128
1.6123,0.11402
1.6084,0.1133
1.6024,0.1128
1.5862,0.11356
1.5444,0.11357
1.5842,0.11257
1.6104,0.11305
1.6163,0.11351
1.5164,0.11307
1.4784,0.1122
1.5465,0.1133
1.4738,0.11273
1.4576,0.1133
1.3417,0.11391
1.3778,0.11267
1.3471,0.1133
1.291,0.11365
1.2602,0.11396
1.3417,0.11391
1.4317,0.1136
1.3677,0.11239
1.4124,0.113
1.3677,0.11239
1.3471,0.1133
1.3727,0.1133
1.4124,0.113
1.3471,0.1133
1.3574,0.11363
1.4985,0.11382
1.5507,0.11406
1.4341,0.11335
1.4317,0.1136
1.4002,0.11299
1.4483,0.11305
1.4874,0.11387
1.4553,0.1136
1.5338,0.11226
1.525,0.11326
1.578,0.1133
1.5098,0.11251
1.4985,0.11382
1.5675,0.11326
1.6419,0.11282
1.7128,0.1133
1.6686,0.11307
1.5592,0.11304
1.6242,0.11376
1.6301,0.11425
1.6399,0.11306
1.6928,0.11354
1.6928,0.11354
1.6965,0.11311
1.7306,0.1133
1.7516,0.11393
1.7377,0.11353
1.7254,0.11289
1.7146,0.11311
1.7377,0.11353
1.7272,0.11267
1.7092,0.11265
1.6965,0.11311
1.6872,0.11307
1.6872,0.11307
1.6742,0.11354
1.6084,0.1133
1.5902,0.11429
1.5338,0.11226
1.4874,0.11387
1.4829,0.11302
1.467,0.11219
1.4245,0.113
1.427,0.11274
1.3288,0.11235
1.2827,0.11295
1.2517,0.1133
1.3523,0.1127
1.2965,0.11301
1.2228,0.1133
1.291,0.11365
1.3417,0.11391
1.291,0.11365
1.291,0.11365
1.2686,0.11467
1.2745,0.1123
1.3181,0.11364
1.291,0.11365
1.4413,0.11245
1.4341,0.11335
1.5076,0.11279
1.5031,0.1133
1.5549,0.11353
1.4874,0.11387
1.4576,0.1133
1.5186,0.11279
1.5008,0.11358
1.5444,0.11357
1.5944,0.11257
1.492,0.11335
1.5098,0.11251
1.5358,0.1133
1.5675,0.11326
1.6084,0.1133
1.6043,0.11377
1.632,0.114
1.576,0.1123
1.6704,0.11398
1.7127,0.11327
1.7412,0.11308
1.7341,0.11394
1.7482,0.1133
1.6872,0.11307
1.7146,0.11311
1.7586,0.11309
1.7163,0.11395
1.7092,0.11265
1.727,0.11372
1.6964,0.11307
1.6761,0.1133
1.5923,0.11279
1.5076,0.11279
1.5571,0.1133
1.5316,0.11253
1.3926,0.11388
1.3828,0.11362
1.3727,0.1133
1.2965,0.11301
1.3828,0.11362
1.3878,0.11299
1.243,0.11434
1.3046,0.11365
1.291,0.11365
1.3952,0.11362
1.3288,0.11235
1.2965,0.11301
1.3828,0.11362
1.3234,0.11297
1.3366,0.11297
1.467,0.11219
1.4963,0.11411
1.5402,0.1128
1.5902,0.11429
1.6084,0.1133
1.636,0.11355
1.6742,0.11354
1.7092,0.11376
1.7325,0.11311
1.7252,0.11394
1.7073,0.11395
1.7056,0.11307
1.6667,0.1133
1.6533,0.11375
1.638,0.1133
